guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
0,0,0,1,0,0,4.8283138,0
1,0,1,1,1,0,4.59512,0
1,0,1,1,1,1,4.6051702,1
0,0,0,0,0,1,4.4998097,0
1,0,1,0,0,0,5.0039463,0
0,0,0,1,1,0,6.5861716,1
1,0,0,1,0,0,5.0106354,0
1,0,0,1,0,0,4.4426513,
0,0,1,1,0,0,5.4026775,1
1,0,0,0,0,0,,0
0,0,1,1,0,0,5.1059456,0
0,0,1,1,0,0,5.521461,1
1,0,0,0,1,1,4.5217886,0
1,0,1,1,1,0,5.1059456,0
0,0,0,1,1,0,5.4071717,1
1,0,0,1,1,0,5.521461,0
0,0,0,0,0,0,4.8283138,0
0,0,0,0,0,0,5.7037826,1
1,0,1,0,0,1,4.4426513,1
1,0,0,1,0,0,5.2933049,1
1,0,0,0,0,1,3.8066626,0
0,0,0,1,1,1,4.1743875,0
0,0,0,1,1,0,5.2983174,1
0,0,0,0,1,0,4.9767337,0
0,0,0,0,1,0,6.2146082,0
0,0,0,1,1,1,4.1743875,0
1,0,0,1,1,1,3.7376697,0
1,0,0,1,0,0,4.7621741,0
0,0,1,1,0,0,5.2933049,0
0,0,0,1,1,0,5.2983174,0
0,0,0,1,0,0,4.9052749,0
0,0,1,1,0,0,5.1059456,0
1,0,1,1,0,0,5.0106354,0
1,0,1,1,0,1,4.1743875,1
